asset,partition,rep_period,specification,year
NL_Solar,1,1,uniform,2030
NL_Wind_Onshore,1,1,uniform,2030
NL_Wind_Offshore,1,1,uniform,2030
NL_CCGT,1,1,uniform,2030
NL_OCGT,1,1,uniform,2030
NL_Battery,1,1,uniform,2030
NL_E_Demand,1,1,uniform,2030
NL_Balance,1,1,uniform,2030
NL_Coal,3,1,uniform,2030
NL_Nuclear,4,1,uniform,2030
NL_Solar,1,2,uniform,2030
NL_Wind_Onshore,1,2,uniform,2030
NL_Wind_Offshore,1,2,uniform,2030
NL_CCGT,1,2,uniform,2030
NL_OCGT,1,2,uniform,2030
NL_Battery,1,2,uniform,2030
NL_E_Demand,1,2,uniform,2030
NL_Balance,1,2,uniform,2030
NL_Coal,3,2,uniform,2030
NL_Nuclear,4,2,uniform,2030
NL_Solar,1,3,uniform,2030
NL_Wind_Onshore,1,3,uniform,2030
NL_Wind_Offshore,1,3,uniform,2030
NL_CCGT,1,3,uniform,2030
NL_OCGT,1,3,uniform,2030
NL_Battery,1,3,uniform,2030
NL_E_Demand,1,3,uniform,2030
NL_Balance,1,3,uniform,2030
NL_Coal,3,3,uniform,2030
NL_Nuclear,4,3,uniform,2030
NL_Solar,1,4,uniform,2030
NL_Wind_Onshore,1,4,uniform,2030
NL_Wind_Offshore,1,4,uniform,2030
NL_CCGT,1,4,uniform,2030
NL_OCGT,1,4,uniform,2030
NL_Battery,1,4,uniform,2030
NL_E_Demand,1,4,uniform,2030
NL_Balance,1,4,uniform,2030
NL_Coal,3,4,uniform,2030
NL_Nuclear,4,4,uniform,2030
NL_Solar,1,5,uniform,2030
NL_Wind_Onshore,1,5,uniform,2030
NL_Wind_Offshore,1,5,uniform,2030
NL_CCGT,1,5,uniform,2030
NL_OCGT,1,5,uniform,2030
NL_Battery,1,5,uniform,2030
NL_E_Demand,1,5,uniform,2030
NL_Balance,1,5,uniform,2030
NL_Coal,3,5,uniform,2030
NL_Nuclear,4,5,uniform,2030
NL_Solar,1,6,uniform,2030
NL_Wind_Onshore,1,6,uniform,2030
NL_Wind_Offshore,1,6,uniform,2030
NL_CCGT,1,6,uniform,2030
NL_OCGT,1,6,uniform,2030
NL_Battery,1,6,uniform,2030
NL_E_Demand,1,6,uniform,2030
NL_Balance,1,6,uniform,2030
NL_Coal,3,6,uniform,2030
NL_Nuclear,4,6,uniform,2030
NL_Solar,1,7,uniform,2030
NL_Wind_Onshore,1,7,uniform,2030
NL_Wind_Offshore,1,7,uniform,2030
NL_CCGT,1,7,uniform,2030
NL_OCGT,1,7,uniform,2030
NL_Battery,1,7,uniform,2030
NL_E_Demand,1,7,uniform,2030
NL_Balance,1,7,uniform,2030
NL_Coal,3,7,uniform,2030
