id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
1,BE_CCGT,2030,1,1,1,0.0
2,BE_CCGT,2030,1,2,2,0.0
3,BE_CCGT,2030,1,3,3,0.0
4,BE_CCGT,2030,1,4,4,0.0
5,BE_CCGT,2030,1,5,5,0.0
6,BE_CCGT,2030,1,6,6,0.0
7,BE_CCGT,2030,1,7,7,0.0
8,BE_CCGT,2030,1,8,8,0.0
9,BE_CCGT,2030,1,9,9,0.0
10,BE_CCGT,2030,1,10,10,0.0
11,BE_CCGT,2030,1,11,11,0.0
12,BE_CCGT,2030,1,12,12,0.0
13,BE_CCGT,2030,1,13,13,0.0
14,BE_CCGT,2030,1,14,14,0.0
15,BE_CCGT,2030,1,15,15,0.0
16,BE_CCGT,2030,1,16,16,0.0
17,BE_CCGT,2030,1,17,17,0.0
18,BE_CCGT,2030,1,18,18,0.0
19,BE_CCGT,2030,1,19,19,0.0
20,BE_CCGT,2030,1,20,20,0.0
21,BE_CCGT,2030,1,21,21,0.0
22,BE_CCGT,2030,1,22,22,0.0
23,BE_CCGT,2030,1,23,23,0.0
24,BE_CCGT,2030,1,24,24,0.0
25,BE_CCGT,2030,2,1,1,0.0
26,BE_CCGT,2030,2,2,2,0.0
27,BE_CCGT,2030,2,3,3,0.0
28,BE_CCGT,2030,2,4,4,0.0
29,BE_CCGT,2030,2,5,5,0.0
30,BE_CCGT,2030,2,6,6,0.0
31,BE_CCGT,2030,2,7,7,0.0
32,BE_CCGT,2030,2,8,8,0.0
33,BE_CCGT,2030,2,9,9,0.0
34,BE_CCGT,2030,2,10,10,0.0
35,BE_CCGT,2030,2,11,11,0.0
36,BE_CCGT,2030,2,12,12,0.0
37,BE_CCGT,2030,2,13,13,0.0
38,BE_CCGT,2030,2,14,14,0.0
39,BE_CCGT,2030,2,15,15,0.0
40,BE_CCGT,2030,2,16,16,0.0
41,BE_CCGT,2030,2,17,17,0.0
42,BE_CCGT,2030,2,18,18,0.0
43,BE_CCGT,2030,2,19,19,0.0
44,BE_CCGT,2030,2,20,20,0.0
45,BE_CCGT,2030,2,21,21,0.0
46,BE_CCGT,2030,2,22,22,0.0
47,BE_CCGT,2030,2,23,23,0.0
48,BE_CCGT,2030,2,24,24,0.0
49,BE_CCGT,2030,3,1,1,0.0
50,BE_CCGT,2030,3,2,2,0.0
51,BE_CCGT,2030,3,3,3,0.0
52,BE_CCGT,2030,3,4,4,0.0
53,BE_CCGT,2030,3,5,5,0.0
54,BE_CCGT,2030,3,6,6,0.0
55,BE_CCGT,2030,3,7,7,0.0
56,BE_CCGT,2030,3,8,8,0.0
57,BE_CCGT,2030,3,9,9,0.0
58,BE_CCGT,2030,3,10,10,0.0
59,BE_CCGT,2030,3,11,11,0.0
60,BE_CCGT,2030,3,12,12,0.0
61,BE_CCGT,2030,3,13,13,0.0
62,BE_CCGT,2030,3,14,14,0.0
63,BE_CCGT,2030,3,15,15,0.0
64,BE_CCGT,2030,3,16,16,0.0
65,BE_CCGT,2030,3,17,17,0.0
66,BE_CCGT,2030,3,18,18,0.0
67,BE_CCGT,2030,3,19,19,0.0
68,BE_CCGT,2030,3,20,20,0.0
69,BE_CCGT,2030,3,21,21,0.0
70,BE_CCGT,2030,3,22,22,0.0
71,BE_CCGT,2030,3,23,23,0.0
72,BE_CCGT,2030,3,24,24,0.0
73,BE_CCGT,2030,4,1,1,0.0
74,BE_CCGT,2030,4,2,2,0.0
75,BE_CCGT,2030,4,3,3,0.0
76,BE_CCGT,2030,4,4,4,0.0
77,BE_CCGT,2030,4,5,5,0.0
78,BE_CCGT,2030,4,6,6,0.0
79,BE_CCGT,2030,4,7,7,0.0
80,BE_CCGT,2030,4,8,8,0.0
81,BE_CCGT,2030,4,9,9,0.0
82,BE_CCGT,2030,4,10,10,0.0
83,BE_CCGT,2030,4,11,11,0.0
84,BE_CCGT,2030,4,12,12,0.0
85,BE_CCGT,2030,4,13,13,0.0
86,BE_CCGT,2030,4,14,14,0.0
87,BE_CCGT,2030,4,15,15,0.0
88,BE_CCGT,2030,4,16,16,0.0
89,BE_CCGT,2030,4,17,17,0.0
90,BE_CCGT,2030,4,18,18,0.0
91,BE_CCGT,2030,4,19,19,0.0
92,BE_CCGT,2030,4,20,20,0.0
93,BE_CCGT,2030,4,21,21,0.0
94,BE_CCGT,2030,4,22,22,0.0
95,BE_CCGT,2030,4,23,23,0.0
96,BE_CCGT,2030,4,24,24,0.0
97,BE_CCGT,2030,5,1,1,0.0
98,BE_CCGT,2030,5,2,2,0.0
99,BE_CCGT,2030,5,3,3,0.0
100,BE_CCGT,2030,5,4,4,0.0
101,BE_CCGT,2030,5,5,5,0.0
