id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,BE_E_Demand,2030,1,1,1,0.9381
2,BE_E_Demand,2030,1,2,2,0.9381
3,BE_E_Demand,2030,1,3,3,0.9381
4,BE_E_Demand,2030,1,4,4,0.9381
5,BE_E_Demand,2030,1,5,5,0.9381
6,BE_E_Demand,2030,1,6,6,1.749
7,BE_E_Demand,2030,1,7,7,1.749
8,BE_E_Demand,2030,1,8,8,1.749
9,BE_E_Demand,2030,1,9,9,1.749
10,BE_E_Demand,2030,1,10,10,1.749
11,BE_E_Demand,2030,1,11,11,1.749
12,BE_E_Demand,2030,1,12,12,1.749
13,BE_E_Demand,2030,1,13,13,1.749
14,BE_E_Demand,2030,1,14,14,0.9381
15,BE_E_Demand,2030,1,15,15,0.9381
16,BE_E_Demand,2030,1,16,16,0.9381
17,BE_E_Demand,2030,1,17,17,0.9381
18,BE_E_Demand,2030,1,18,18,1.749
19,BE_E_Demand,2030,1,19,19,1.749
20,BE_E_Demand,2030,1,20,20,1.749
21,BE_E_Demand,2030,1,21,21,1.749
22,BE_E_Demand,2030,1,22,22,1.749
23,BE_E_Demand,2030,1,23,23,0.9381
24,BE_E_Demand,2030,1,24,24,0.9381
25,BE_E_Demand,2030,2,1,1,0.066
26,BE_E_Demand,2030,2,2,2,0.066
27,BE_E_Demand,2030,2,3,3,0.066
28,BE_E_Demand,2030,2,4,4,0.066
29,BE_E_Demand,2030,2,5,5,0.066
30,BE_E_Demand,2030,2,6,6,0.5841000000000001
31,BE_E_Demand,2030,2,7,7,0.5841000000000001
32,BE_E_Demand,2030,2,8,8,0.5841000000000001
33,BE_E_Demand,2030,2,9,9,0.5841000000000001
34,BE_E_Demand,2030,2,10,10,0.5841000000000001
35,BE_E_Demand,2030,2,11,11,0.5841000000000001
36,BE_E_Demand,2030,2,12,12,0.5841000000000001
37,BE_E_Demand,2030,2,13,13,0.5841000000000001
38,BE_E_Demand,2030,2,14,14,0.5841000000000001
39,BE_E_Demand,2030,2,15,15,0.5841000000000001
40,BE_E_Demand,2030,2,16,16,0.5841000000000001
41,BE_E_Demand,2030,2,17,17,0.5841000000000001
42,BE_E_Demand,2030,2,18,18,0.5841000000000001
43,BE_E_Demand,2030,2,19,19,0.5841000000000001
44,BE_E_Demand,2030,2,20,20,0.5841000000000001
45,BE_E_Demand,2030,2,21,21,0.5841000000000001
46,BE_E_Demand,2030,2,22,22,0.5841000000000001
47,BE_E_Demand,2030,2,23,23,0.5841000000000001
48,BE_E_Demand,2030,2,24,24,0.5841000000000001
49,BE_E_Demand,2030,3,1,1,0.058
50,BE_E_Demand,2030,3,2,2,0.058
51,BE_E_Demand,2030,3,3,3,0.058
52,BE_E_Demand,2030,3,4,4,0.058
53,BE_E_Demand,2030,3,5,5,0.058
54,BE_E_Demand,2030,3,6,6,0.058
55,BE_E_Demand,2030,3,7,7,0.058
56,BE_E_Demand,2030,3,8,8,0.058
57,BE_E_Demand,2030,3,9,9,0.058
58,BE_E_Demand,2030,3,10,10,0.058
59,BE_E_Demand,2030,3,11,11,0.058
60,BE_E_Demand,2030,3,12,12,0.058
61,BE_E_Demand,2030,3,13,13,0.058
62,BE_E_Demand,2030,3,14,14,0.058
63,BE_E_Demand,2030,3,15,15,0.058
64,BE_E_Demand,2030,3,16,16,0.058
65,BE_E_Demand,2030,3,17,17,0.058
66,BE_E_Demand,2030,3,18,18,0.058
67,BE_E_Demand,2030,3,19,19,0.058
68,BE_E_Demand,2030,3,20,20,0.058
69,BE_E_Demand,2030,3,21,21,0.058
