id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,BE_E_Demand,2030,1,1,2,1.0653000000000001
2,BE_E_Demand,2030,1,3,4,1.0653000000000001
3,BE_E_Demand,2030,1,5,6,3.498
4,BE_E_Demand,2030,1,7,8,3.498
5,BE_E_Demand,2030,1,9,10,4.004999999999991
6,BE_E_Demand,2030,1,11,12,3.498
7,BE_E_Demand,2030,1,13,14,3.498
8,BE_E_Demand,2030,1,15,16,0.8904
9,BE_E_Demand,2030,1,17,18,3.498
10,BE_E_Demand,2030,1,19,20,5.406
11,BE_E_Demand,2030,1,21,22,5.406
12,BE_E_Demand,2030,1,23,24,0.212
13,BE_E_Demand,2030,2,1,2,0.132
14,BE_E_Demand,2030,2,3,4,0.132
15,BE_E_Demand,2030,2,5,6,0.132
16,BE_E_Demand,2030,2,7,8,0.132
17,BE_E_Demand,2030,2,9,10,0.132
18,BE_E_Demand,2030,2,11,12,0.132
19,BE_E_Demand,2030,2,13,14,0.132
20,BE_E_Demand,2030,2,15,16,0.132
21,BE_E_Demand,2030,2,17,18,2.178
22,BE_E_Demand,2030,2,19,20,2.178
23,BE_E_Demand,2030,2,21,22,1.1945999999999999
24,BE_E_Demand,2030,2,23,24,0.132
25,BE_E_Demand,2030,3,1,2,0.116
26,BE_E_Demand,2030,3,3,4,0.116
27,BE_E_Demand,2030,3,5,6,0.116
28,BE_E_Demand,2030,3,7,8,0.116
29,BE_E_Demand,2030,3,9,10,0.116
30,BE_E_Demand,2030,3,11,12,0.116
31,BE_E_Demand,2030,3,13,14,0.116
32,BE_E_Demand,2030,3,15,16,0.116
33,BE_E_Demand,2030,3,17,18,0.116
34,BE_E_Demand,2030,3,19,20,0.116
35,BE_E_Demand,2030,3,21,22,0.116
36,BE_E_Demand,2030,3,23,24,0.116
37,BE_E_Demand,2030,4,1,2,0.092
38,BE_E_Demand,2030,4,3,4,0.092
39,BE_E_Demand,2030,4,5,6,0.092
40,BE_E_Demand,2030,4,7,8,0.38639999999999997
41,BE_E_Demand,2030,4,9,10,0.38639999999999997
42,BE_E_Demand,2030,4,11,12,0.092
43,BE_E_Demand,2030,4,13,14,0.092
44,BE_E_Demand,2030,4,15,16,0.092
45,BE_E_Demand,2030,4,17,18,0.092
46,BE_E_Demand,2030,4,19,20,0.092
47,BE_E_Demand,2030,4,21,22,0.09200000000000008
48,BE_E_Demand,2030,4,23,24,0.092
49,BE_E_Demand,2030,5,1,2,0.20800000000000002
50,BE_E_Demand,2030,5,3,4,0.20800000000000002
51,BE_E_Demand,2030,5,5,6,0.20800000000000002
52,BE_E_Demand,2030,5,7,8,0.20800000000000002
53,BE_E_Demand,2030,5,9,10,0.20800000000000002
54,BE_E_Demand,2030,5,11,12,0.20800000000000002
55,BE_E_Demand,2030,5,13,14,0.20800000000000002
56,BE_E_Demand,2030,5,15,16,0.20800000000000002
57,BE_E_Demand,2030,5,17,18,0.20800000000000002
58,BE_E_Demand,2030,5,19,20,0.20800000000000002
