id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,BE_Balance,2030,1,1,2,1.0653000000000001
2,BE_Balance,2030,1,3,3,1.0653000000000001
3,BE_Balance,2030,1,4,4,0.0
4,BE_Balance,2030,1,5,6,3.498
5,BE_Balance,2030,1,7,8,3.498
6,BE_Balance,2030,1,9,9,4.004999999999991
7,BE_Balance,2030,1,10,10,0.0
8,BE_Balance,2030,1,11,12,3.498
9,BE_Balance,2030,1,13,14,3.498
10,BE_Balance,2030,1,15,15,0.0
11,BE_Balance,2030,1,16,16,0.8904
12,BE_Balance,2030,1,17,18,3.498
13,BE_Balance,2030,1,19,20,5.406
14,BE_Balance,2030,1,21,21,5.406
15,BE_Balance,2030,1,22,22,0.0
16,BE_Balance,2030,1,23,24,0.212
17,BE_Balance,2030,2,1,2,0.132
18,BE_Balance,2030,2,3,3,0.0
19,BE_Balance,2030,2,4,4,0.132
20,BE_Balance,2030,2,5,6,0.132
21,BE_Balance,2030,2,7,8,0.132
22,BE_Balance,2030,2,9,9,0.132
23,BE_Balance,2030,2,10,10,0.0
24,BE_Balance,2030,2,11,12,0.132
25,BE_Balance,2030,2,13,14,0.132
26,BE_Balance,2030,2,15,15,0.0
27,BE_Balance,2030,2,16,16,0.132
28,BE_Balance,2030,2,17,18,2.178
29,BE_Balance,2030,2,19,20,2.178
30,BE_Balance,2030,2,21,21,1.1945999999999999
31,BE_Balance,2030,2,22,22,0.0
32,BE_Balance,2030,2,23,24,0.132
33,BE_Balance,2030,3,1,2,0.116
34,BE_Balance,2030,3,3,3,0.0
35,BE_Balance,2030,3,4,4,0.116
36,BE_Balance,2030,3,5,6,0.116
37,BE_Balance,2030,3,7,8,0.116
38,BE_Balance,2030,3,9,9,0.0
39,BE_Balance,2030,3,10,10,0.116
40,BE_Balance,2030,3,11,12,0.116
41,BE_Balance,2030,3,13,14,0.116
42,BE_Balance,2030,3,15,15,0.0
43,BE_Balance,2030,3,16,16,0.116
44,BE_Balance,2030,3,17,18,0.116
45,BE_Balance,2030,3,19,20,0.116
46,BE_Balance,2030,3,21,21,0.0
47,BE_Balance,2030,3,22,22,0.116
48,BE_Balance,2030,3,23,24,0.116
49,BE_Balance,2030,4,1,2,0.092
50,BE_Balance,2030,4,3,3,0.092
51,BE_Balance,2030,4,4,4,0.0
52,BE_Balance,2030,4,5,6,0.092
53,BE_Balance,2030,4,7,8,0.38639999999999997
54,BE_Balance,2030,4,9,9,0.38639999999999997
55,BE_Balance,2030,4,10,10,0.0
56,BE_Balance,2030,4,11,12,0.092
57,BE_Balance,2030,4,13,14,0.092
58,BE_Balance,2030,4,15,15,0.092
59,BE_Balance,2030,4,16,16,0.0
60,BE_Balance,2030,4,17,18,0.092
61,BE_Balance,2030,4,19,20,0.092
62,BE_Balance,2030,4,21,21,0.0
63,BE_Balance,2030,4,22,22,0.09200000000000008
64,BE_Balance,2030,4,23,24,0.092
65,BE_Balance,2030,5,1,2,0.20800000000000002
66,BE_Balance,2030,5,3,3,0.20800000000000002
67,BE_Balance,2030,5,4,4,0.0
68,BE_Balance,2030,5,5,6,0.20800000000000002
69,BE_Balance,2030,5,7,8,0.20800000000000002
70,BE_Balance,2030,5,9,9,0.0
71,BE_Balance,2030,5,10,10,0.20800000000000002
72,BE_Balance,2030,5,11,12,0.20800000000000002
73,BE_Balance,2030,5,13,14,0.20800000000000002
74,BE_Balance,2030,5,15,15,0.20800000000000002
75,BE_Balance,2030,5,16,16,0.0
76,BE_Balance,2030,5,17,18,0.20800000000000002
77,BE_Balance,2030,5,19,20,0.20800000000000002
78,BE_Balance,2030,5,21,21,0.0
79,BE_Balance,2030,5,22,22,0.20800000000000002
80,BE_Balance,2030,5,23,24,0.20800000000000002
81,BE_Balance,2030,6,1,2,0.3617999999999999
82,BE_Balance,2030,6,3,3,0.3617999999999999
