id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,BE_Balance,2030,1,1,6,5.6286000000000005
2,BE_Balance,2030,1,7,12,10.494
3,BE_Balance,2030,1,13,18,5.6286000000000005
4,BE_Balance,2030,1,19,24,5.6286000000000005
5,BE_Balance,2030,2,1,6,0.396
6,BE_Balance,2030,2,7,12,3.5046
7,BE_Balance,2030,2,13,18,3.5046
8,BE_Balance,2030,2,19,24,3.5046
9,BE_Balance,2030,3,1,6,0.34800000000000003
10,BE_Balance,2030,3,7,12,0.34800000000000003
11,BE_Balance,2030,3,13,18,0.34800000000000003
12,BE_Balance,2030,3,19,24,0.34800000000000003
13,BE_Balance,2030,4,1,6,0.276
14,BE_Balance,2030,4,7,12,2.4426
15,BE_Balance,2030,4,13,18,0.276
16,BE_Balance,2030,4,19,24,2.4426
17,BE_Balance,2030,5,1,6,0.624
18,BE_Balance,2030,5,7,12,0.624
19,BE_Balance,2030,5,13,18,0.624
20,BE_Balance,2030,5,19,24,0.624
21,BE_Balance,2030,6,1,6,1.9116
22,BE_Balance,2030,6,7,12,1.9116
23,BE_Balance,2030,6,13,18,0.216
24,BE_Balance,2030,6,19,24,1.9116
25,BE_Balance,2030,7,1,6,7.3260000000000005
26,BE_Balance,2030,7,7,12,11.322
27,BE_Balance,2030,7,13,18,11.322
28,BE_Balance,2030,7,19,24,67.6683599396641
29,BE_Balance,2030,8,1,6,0.372
30,BE_Balance,2030,8,7,12,0.372
31,BE_Balance,2030,8,13,18,0.372
32,BE_Balance,2030,8,19,24,0.372
33,BE_Balance,2030,9,1,6,0.516
34,BE_Balance,2030,9,7,12,0.516
35,BE_Balance,2030,9,13,18,0.516
36,BE_Balance,2030,9,19,24,4.5666
37,BE_Balance,2030,10,1,6,9.108
38,BE_Balance,2030,10,7,12,9.108
39,BE_Balance,2030,10,13,18,14.075999999999999
40,BE_Balance,2030,10,19,24,9.108
41,CH_Balance,2030,1,1,6,5.6286000000000005
42,CH_Balance,2030,1,7,12,5.6286000000000005
43,CH_Balance,2030,1,13,18,5.6286000000000005
44,CH_Balance,2030,1,19,24,5.6286000000000005
45,CH_Balance,2030,2,1,6,3.5046
46,CH_Balance,2030,2,7,12,3.5046
47,CH_Balance,2030,2,13,18,3.5046
48,CH_Balance,2030,2,19,24,3.5046
49,CH_Balance,2030,3,1,6,5.742
50,CH_Balance,2030,3,7,12,5.742
51,CH_Balance,2030,3,13,18,3.0798
52,CH_Balance,2030,3,19,24,8.873999999999999
53,CH_Balance,2030,4,1,6,2.4426
54,CH_Balance,2030,4,7,12,2.4426
55,CH_Balance,2030,4,13,18,2.4426
56,CH_Balance,2030,4,19,24,7.037999999999999
57,CH_Balance,2030,5,1,6,5.5224
58,CH_Balance,2030,5,7,12,5.5224
59,CH_Balance,2030,5,13,18,5.5224
60,CH_Balance,2030,5,19,24,5.5224
61,CH_Balance,2030,6,1,6,1.9116
62,CH_Balance,2030,6,7,12,1.9116
63,CH_Balance,2030,6,13,18,0.216
64,CH_Balance,2030,6,19,24,1.9116
65,CH_Balance,2030,7,1,6,7.3260000000000005
66,CH_Balance,2030,7,7,12,7.3260000000000005
67,CH_Balance,2030,7,13,18,3.9294000000000002
68,CH_Balance,2030,7,19,24,67.6683599396641
69,CH_Balance,2030,8,1,6,3.2922000000000002
70,CH_Balance,2030,8,7,12,3.2922000000000002
71,CH_Balance,2030,8,13,18,0.372
72,CH_Balance,2030,8,19,24,3.2922000000000002
73,CH_Balance,2030,9,1,6,4.5666
74,CH_Balance,2030,9,7,12,4.5666
75,CH_Balance,2030,9,13,18,0.516
76,CH_Balance,2030,9,19,24,4.5666
77,CH_Balance,2030,10,1,6,9.108
78,CH_Balance,2030,10,7,12,9.108
79,CH_Balance,2030,10,13,18,9.108
80,CH_Balance,2030,10,19,24,9.108
81,DE_Balance,2030,1,1,6,5.6286000000000005
82,DE_Balance,2030,1,7,12,10.494
83,DE_Balance,2030,1,13,18,5.6286000000000005
84,DE_Balance,2030,1,19,24,5.6286000000000005
85,DE_Balance,2030,2,1,6,3.5046
86,DE_Balance,2030,2,7,12,3.5046
87,DE_Balance,2030,2,13,18,3.5046
88,DE_Balance,2030,2,19,24,3.5046
89,DE_Balance,2030,3,1,6,0.34800000000000003
90,DE_Balance,2030,3,7,12,0.34800000000000003
