id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1,BE_Battery,2030,1,1,6,-0.9381,0.0,0.0
2,BE_Battery,2030,1,7,12,-0.9381,0.0,0.0
3,BE_Battery,2030,1,13,18,-0.9381,0.0,0.0
4,BE_Battery,2030,1,19,24,-0.9381,0.0,0.0
5,BE_Battery,2030,2,1,6,-0.066,0.0,0.0
6,BE_Battery,2030,2,7,12,-0.066,0.0,0.0
7,BE_Battery,2030,2,13,18,-0.066,0.0,0.0
8,BE_Battery,2030,2,19,24,-0.066,0.0,0.0
9,BE_Battery,2030,3,1,6,-0.058,0.0,0.0
10,BE_Battery,2030,3,7,12,-0.058,0.0,0.0
11,BE_Battery,2030,3,13,18,-0.058,0.0,0.0
12,BE_Battery,2030,3,19,24,-0.058,0.0,0.0
13,BE_Battery,2030,4,1,6,-0.046,0.0,0.0
14,BE_Battery,2030,4,7,12,-0.046,0.0,0.0
15,BE_Battery,2030,4,13,18,-0.046,0.0,0.0
16,BE_Battery,2030,4,19,24,-0.046,0.0,0.0
17,BE_Battery,2030,5,1,6,-0.104,0.0,0.0
18,BE_Battery,2030,5,7,12,-0.104,0.0,0.0
19,BE_Battery,2030,5,13,18,-0.104,0.0,0.0
20,BE_Battery,2030,5,19,24,-0.104,0.0,0.0
21,BE_Battery,2030,6,1,6,-0.036,0.0,0.0
22,BE_Battery,2030,6,7,12,-0.036,0.0,0.0
23,BE_Battery,2030,6,13,18,-0.036,-0.2826,0.0
24,BE_Battery,2030,6,19,24,-0.3186,0.0,0.0
25,BE_Battery,2030,7,1,6,-1.221,-0.6659999999999997,0.0
26,BE_Battery,2030,7,7,12,-1.8869999999999998,0.0,0.0
27,BE_Battery,2030,7,13,18,-1.221,-0.6659999999999997,0.0
28,BE_Battery,2030,7,19,24,-1.8869999999999998,0.0,0.0
29,BE_Battery,2030,8,1,6,-0.062,0.0,0.0
30,BE_Battery,2030,8,7,12,-0.062,0.0,0.0
31,BE_Battery,2030,8,13,18,-0.062,0.0,0.0
32,BE_Battery,2030,8,19,24,-0.062,0.0,0.0
33,BE_Battery,2030,9,1,6,-0.086,0.0,0.0
34,BE_Battery,2030,9,7,12,-0.086,0.0,0.0
35,BE_Battery,2030,9,13,18,-0.086,-0.6751,0.0
36,BE_Battery,2030,9,19,24,-0.7611,0.0,0.0
37,BE_Battery,2030,10,1,6,-1.518,-0.8279999999999996,0.0
38,BE_Battery,2030,10,7,12,-2.3459999999999996,0.0,0.0
39,BE_Battery,2030,10,13,18,-2.3459999999999996,0.0,0.0
40,BE_Battery,2030,10,19,24,-1.518,0.0,0.0
41,CH_Battery,2030,1,1,6,-1.7489999999999999,0.0,0.0
42,CH_Battery,2030,1,7,12,-1.7489999999999999,0.0,0.0
43,CH_Battery,2030,1,13,18,-0.106,0.0,0.0
44,CH_Battery,2030,1,19,24,-0.106,0.0,0.0
45,CH_Battery,2030,2,1,6,-0.066,0.0,0.0
46,CH_Battery,2030,2,7,12,-0.066,0.0,0.0
47,CH_Battery,2030,2,13,18,-0.066,0.0,0.0
48,CH_Battery,2030,2,19,24,-0.066,0.0,0.0
49,CH_Battery,2030,3,1,6,-0.957,0.0,0.0
50,CH_Battery,2030,3,7,12,-0.957,0.0,0.0
51,CH_Battery,2030,3,13,18,-0.957,-13.31985998994402,0.0
52,CH_Battery,2030,3,19,24,-14.27685998994402,0.0,0.0
53,CH_Battery,2030,4,1,6,-0.046,0.0,0.0
54,CH_Battery,2030,4,7,12,-0.046,0.0,0.0
55,CH_Battery,2030,4,13,18,-0.046,0.0,0.0
56,CH_Battery,2030,4,19,24,-0.046,0.0,0.0
57,CH_Battery,2030,5,1,6,-0.104,0.0,0.0
58,CH_Battery,2030,5,7,12,-0.104,0.0,0.0
59,CH_Battery,2030,5,13,18,-0.104,0.0,0.0
60,CH_Battery,2030,5,19,24,-0.104,0.0,0.0
61,CH_Battery,2030,6,1,6,-0.036,0.0,0.0
62,CH_Battery,2030,6,7,12,-0.036,0.0,0.0
63,CH_Battery,2030,6,13,18,-0.036,0.0,0.0
64,CH_Battery,2030,6,19,24,-0.036,0.0,0.0
65,CH_Battery,2030,7,1,6,-1.8869999999999998,0.0,0.0
66,CH_Battery,2030,7,7,12,-1.8869999999999998,0.0,0.0
67,CH_Battery,2030,7,13,18,-1.221,-0.07630571572228284,0.0
68,CH_Battery,2030,7,19,24,-1.297305715722283,0.0,0.0
69,CH_Battery,2030,8,1,6,-0.062,0.0,0.0
70,CH_Battery,2030,8,7,12,-0.062,0.0,0.0
71,CH_Battery,2030,8,13,18,-0.062,0.0,0.0
72,CH_Battery,2030,8,19,24,-0.062,0.0,0.0
73,CH_Battery,2030,9,1,6,-0.086,0.0,0.0
74,CH_Battery,2030,9,7,12,-0.086,0.0,0.0
75,CH_Battery,2030,9,13,18,-0.086,0.0,0.0
76,CH_Battery,2030,9,19,24,-0.086,0.0,0.0
77,CH_Battery,2030,10,1,6,-2.3459999999999996,0.0,0.0
78,CH_Battery,2030,10,7,12,-2.3459999999999996,0.0,0.0
79,CH_Battery,2030,10,13,18,-1.518,0.0,0.0
80,CH_Battery,2030,10,19,24,-1.518,0.0,0.0
81,DE_Battery,2030,1,1,6,-0.9381,0.0,0.0
82,DE_Battery,2030,1,7,12,-0.106,0.0,0.0
83,DE_Battery,2030,1,13,18,-0.106,0.0,0.0
84,DE_Battery,2030,1,19,24,-0.106,0.0,0.0
85,DE_Battery,2030,2,1,6,-0.066,0.0,0.0
86,DE_Battery,2030,2,7,12,-0.066,0.0,0.0
87,DE_Battery,2030,2,13,18,-0.066,0.0,0.0
88,DE_Battery,2030,2,19,24,-0.066,0.0,0.0
89,DE_Battery,2030,3,1,6,-0.058,0.0,0.0
90,DE_Battery,2030,3,7,12,-0.058,0.0,0.0
91,DE_Battery,2030,3,13,18,-0.058,0.0,0.0
92,DE_Battery,2030,3,19,24,-0.058,0.0,0.0
93,DE_Battery,2030,4,1,6,-0.046,0.0,0.0
94,DE_Battery,2030,4,7,12,-0.046,0.0,0.0
95,DE_Battery,2030,4,13,18,-0.046,0.0,0.0
96,DE_Battery,2030,4,19,24,-0.046,0.0,0.0
97,DE_Battery,2030,5,1,6,-0.104,0.0,0.0
98,DE_Battery,2030,5,7,12,-0.104,0.0,0.0
99,DE_Battery,2030,5,13,18,-0.104,0.0,0.0
100,DE_Battery,2030,5,19,24,-0.104,0.0,0.0
101,DE_Battery,2030,6,1,6,-0.036,0.0,0.0
102,DE_Battery,2030,6,7,12,-0.036,0.0,0.0
103,DE_Battery,2030,6,13,18,-0.036,0.0,0.0
104,DE_Battery,2030,6,19,24,-0.036,0.0,0.0
105,DE_Battery,2030,7,1,6,-0.074,0.0,0.0
106,DE_Battery,2030,7,7,12,-0.074,0.0,0.0
107,DE_Battery,2030,7,13,18,-0.074,0.0,0.0
108,DE_Battery,2030,7,19,24,-0.074,0.0,0.0
109,DE_Battery,2030,8,1,6,-0.062,0.0,0.0
110,DE_Battery,2030,8,7,12,-0.062,0.0,0.0
111,DE_Battery,2030,8,13,18,-0.062,0.0,0.0
112,DE_Battery,2030,8,19,24,-0.062,0.0,0.0
113,DE_Battery,2030,9,1,6,-0.086,0.0,0.0
114,DE_Battery,2030,9,7,12,-0.086,0.0,0.0
