id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
1,BE_CCGT,2030,1,1,6,0.0
2,BE_CCGT,2030,1,7,12,0.0
3,BE_CCGT,2030,1,13,18,0.0
4,BE_CCGT,2030,1,19,24,0.0
5,BE_CCGT,2030,2,1,6,0.0
6,BE_CCGT,2030,2,7,12,0.0
7,BE_CCGT,2030,2,13,18,0.0
8,BE_CCGT,2030,2,19,24,0.0
9,BE_CCGT,2030,3,1,6,0.0
10,BE_CCGT,2030,3,7,12,0.0
11,BE_CCGT,2030,3,13,18,0.0
12,BE_CCGT,2030,3,19,24,0.0
13,BE_CCGT,2030,4,1,6,0.0
14,BE_CCGT,2030,4,7,12,0.0
15,BE_CCGT,2030,4,13,18,0.0
16,BE_CCGT,2030,4,19,24,0.0
17,BE_CCGT,2030,5,1,6,0.0
18,BE_CCGT,2030,5,7,12,0.0
19,BE_CCGT,2030,5,13,18,0.0
20,BE_CCGT,2030,5,19,24,0.0
21,BE_CCGT,2030,6,1,6,0.0
22,BE_CCGT,2030,6,7,12,0.0
23,BE_CCGT,2030,6,13,18,0.0
24,BE_CCGT,2030,6,19,24,0.0
25,BE_CCGT,2030,7,1,6,0.0
26,BE_CCGT,2030,7,7,12,0.0
27,BE_CCGT,2030,7,13,18,0.0
28,BE_CCGT,2030,7,19,24,0.0
29,BE_CCGT,2030,8,1,6,0.0
30,BE_CCGT,2030,8,7,12,0.0
31,BE_CCGT,2030,8,13,18,0.0
32,BE_CCGT,2030,8,19,24,0.0
33,BE_CCGT,2030,9,1,6,0.0
34,BE_CCGT,2030,9,7,12,0.0
35,BE_CCGT,2030,9,13,18,0.0
36,BE_CCGT,2030,9,19,24,0.0
37,BE_CCGT,2030,10,1,6,0.0
38,BE_CCGT,2030,10,7,12,0.0
39,BE_CCGT,2030,10,13,18,0.0
40,BE_CCGT,2030,10,19,24,0.0
41,BE_Coal,2030,1,1,6,0.0
42,BE_Coal,2030,1,7,12,0.0
43,BE_Coal,2030,1,13,18,0.0
44,BE_Coal,2030,1,19,24,0.0
45,BE_Coal,2030,2,1,6,0.0
46,BE_Coal,2030,2,7,12,0.0
47,BE_Coal,2030,2,13,18,0.0
48,BE_Coal,2030,2,19,24,0.0
49,BE_Coal,2030,3,1,6,0.0
50,BE_Coal,2030,3,7,12,0.0
51,BE_Coal,2030,3,13,18,0.0
52,BE_Coal,2030,3,19,24,0.0
53,BE_Coal,2030,4,1,6,0.0
54,BE_Coal,2030,4,7,12,0.0
55,BE_Coal,2030,4,13,18,0.0
56,BE_Coal,2030,4,19,24,0.0
57,BE_Coal,2030,5,1,6,0.0
58,BE_Coal,2030,5,7,12,0.0
59,BE_Coal,2030,5,13,18,0.0
60,BE_Coal,2030,5,19,24,0.0
61,BE_Coal,2030,6,1,6,0.0
62,BE_Coal,2030,6,7,12,0.0
63,BE_Coal,2030,6,13,18,0.0
64,BE_Coal,2030,6,19,24,0.0
65,BE_Coal,2030,7,1,6,0.0
66,BE_Coal,2030,7,7,12,0.0
67,BE_Coal,2030,7,13,18,0.0
68,BE_Coal,2030,7,19,24,0.0
69,BE_Coal,2030,8,1,6,0.0
70,BE_Coal,2030,8,7,12,0.0
71,BE_Coal,2030,8,13,18,0.0
72,BE_Coal,2030,8,19,24,0.0
73,BE_Coal,2030,9,1,6,0.0
74,BE_Coal,2030,9,7,12,0.0
