id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,1,6,0.0
2,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,7,12,0.0
3,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,13,18,0.0
4,NL_Wind_Offshore,NL_Balance,2030,1,1.0,1.0,19,24,0.0
5,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,1,6,9.536743164062504e-07
6,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,7,12,9.536738616588995e-07
7,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,13,18,9.536743164062504e-07
8,NL_Nuclear,NL_Balance,2030,1,1.0,1.0,19,24,9.536738616588995e-07
9,NL_CCGT,NL_Balance,2030,1,1.0,1.0,1,6,0.0
10,NL_CCGT,NL_Balance,2030,1,1.0,1.0,7,12,0.0
11,NL_CCGT,NL_Balance,2030,1,1.0,1.0,13,18,0.0
12,NL_CCGT,NL_Balance,2030,1,1.0,1.0,19,24,0.0
13,NL_OCGT,NL_Balance,2030,1,1.0,1.0,1,6,0.0
14,NL_OCGT,NL_Balance,2030,1,1.0,1.0,7,12,0.0
15,NL_OCGT,NL_Balance,2030,1,1.0,1.0,13,18,0.0
16,NL_OCGT,NL_Balance,2030,1,1.0,1.0,19,24,0.0
17,NL_Battery,NL_Balance,2030,1,1.0,1.0,1,6,0.0
18,NL_Battery,NL_Balance,2030,1,1.0,1.0,7,12,0.0
19,NL_Battery,NL_Balance,2030,1,1.0,1.0,13,18,0.0
20,NL_Battery,NL_Balance,2030,1,1.0,1.0,19,24,0.0
21,NL_Balance,NL_Battery,2030,1,1.0,1.0,1,6,0.0
22,NL_Balance,NL_Battery,2030,1,1.0,1.0,7,12,0.0
23,NL_Balance,NL_Battery,2030,1,1.0,1.0,13,18,0.0
24,NL_Balance,NL_Battery,2030,1,1.0,1.0,19,24,0.0
25,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,1,6,6261.2212134079555
26,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,7,12,4667.085950828747
27,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,13,18,4762.713384947218
28,BE_Wind_Onshore,BE_Balance,2030,1,1.0,1.0,19,24,6386.784517102258
29,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,1,6,0.0
30,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,7,12,0.0
31,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,13,18,0.0
32,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,19,24,0.0
33,BE_Coal,BE_Balance,2030,1,1.0,1.0,1,6,2.384185791015626e-07
34,BE_Coal,BE_Balance,2030,1,1.0,1.0,7,12,2.384185791015626e-07
35,BE_Coal,BE_Balance,2030,1,1.0,1.0,13,18,2.384185791015626e-07
36,BE_Coal,BE_Balance,2030,1,1.0,1.0,19,24,0.0
37,BE_CCGT,BE_Balance,2030,1,1.0,1.0,1,6,0.0
38,BE_CCGT,BE_Balance,2030,1,1.0,1.0,7,12,0.0
39,BE_CCGT,BE_Balance,2030,1,1.0,1.0,13,18,0.0
40,BE_CCGT,BE_Balance,2030,1,1.0,1.0,19,24,0.0
41,BE_Battery,BE_Balance,2030,1,1.0,1.0,1,6,0.0
42,BE_Battery,BE_Balance,2030,1,1.0,1.0,7,12,0.0
43,BE_Battery,BE_Balance,2030,1,1.0,1.0,13,18,0.0
44,BE_Battery,BE_Balance,2030,1,1.0,1.0,19,24,0.0
45,BE_Balance,BE_Battery,2030,1,1.0,1.0,1,6,0.0
46,BE_Balance,BE_Battery,2030,1,1.0,1.0,7,12,0.0
47,BE_Balance,BE_Battery,2030,1,1.0,1.0,13,18,0.0
48,BE_Balance,BE_Battery,2030,1,1.0,1.0,19,24,0.0
49,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,1,6,42644.751522358965
50,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,7,12,54746.022864749204
51,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,13,18,54612.72836007965
52,DE_Balance,DE_E_Demand,2030,1,1.0,1.0,19,24,44640.43045210777
53,DE_Solar,DE_Balance,2030,1,1.0,1.0,1,6,80.03569339528268
54,DE_Solar,DE_Balance,2030,1,1.0,1.0,7,12,33933.931137564614
55,DE_Solar,DE_Balance,2030,1,1.0,1.0,13,18,46331.225825459434
56,DE_Solar,DE_Balance,2030,1,1.0,1.0,19,24,2223.9737239160354
57,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,1,6,46777.365965178324
58,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,7,12,25812.09172718459
59,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,13,18,13281.502534620216
60,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,19,24,47416.45672819173
61,DE_Wind_Offshore,DE_Balance,2030,1,1.0,1.0,1,6,0.0
